upc,cut,colour,clarity,carat,x,y,z,lw_ratio,depth,table,fluorescence,report,origin,price
4248912Y,4,3,3,0.25,4.05,4.03,2.5,1.005,61.9,56.0,None,GIA,Botswana,605
4294362A,4,4,3,0.25,4.05,4.02,2.5,1.0075,61.9,57.0,Faint,GIA,Botswana,615
4051146A,4,4,1,0.25,4.02,4.0,2.52,1.005,62.7,56.0,None,GIA,Botswana,615
4248936Y,4,3,3,0.25,4.06,4.04,2.48,1.005,61.4,61.0,None,GIA,Botswana,615
4294380A,4,3,2,0.25,4.09,4.08,2.47,1.0025,60.3,60.0,None,GIA,Botswana,615
4294361A,4,3,2,0.25,4.06,4.03,2.48,1.0074,61.4,59.0,None,GIA,Botswana,615
4275668A,4,5,1,0.25,4.04,4.02,2.49,1.005,61.8,57.0,None,GIA,Canada,630
4074613A,4,5,3,0.25,4.06,4.04,2.52,1.005,62.2,58.0,None,GIA,Botswana,640
4248909Y,3,3,5,0.25,4.09,4.04,2.45,1.0124,60.2,60.0,Faint,GIA,Botswana,640
4275671A,4,5,1,0.25,4.04,4.01,2.5,1.0075,62.2,58.0,None,GIA,Canada,640
4248945Y,4,4,2,0.25,4.15,4.12,2.44,1.0073,59.1,60.0,None,GIA,Botswana,655
4205697Y,3,4,2,0.25,4.02,4.0,2.51,1.005,62.5,58.0,Faint,GIA,Botswana,655
4294363A,4,3,3,0.25,4.08,4.05,2.47,1.0074,60.8,59.0,None,GIA,Botswana,655
3566960A,4,2,4,0.25,4.03,4.02,2.49,1.0025,61.9,57.0,Faint,GIA,Canada,655
4248930Y,4,4,3,0.25,4.05,4.03,2.48,1.005,61.4,59.0,None,GIA,Botswana,670
4248915Y,4,3,6,0.25,4.05,4.02,2.49,1.0075,61.8,57.0,None,GIA,Botswana,670
4248913Y,4,3,5,0.25,4.06,4.04,2.46,1.005,60.7,59.0,None,GIA,Botswana,670
4248957Y,4,4,2,0.25,4.04,4.02,2.5,1.005,61.9,58.0,None,GIA,Botswana,680
4248943Y,4,4,3,0.25,4.1,4.07,2.46,1.0074,60.2,59.0,None,GIA,Botswana,680
4248949Y,4,4,3,0.25,4.08,4.05,2.45,1.0074,60.2,62.0,None,GIA,Botswana,680
4248956Y,4,4,3,0.25,4.07,4.04,2.48,1.0074,61.2,60.0,None,GIA,Botswana,680
4248961Y,4,4,2,0.25,4.06,4.04,2.48,1.005,61.3,59.0,None,GIA,Botswana,680
4248924Y,4,5,3,0.25,4.05,4.04,2.48,1.0025,61.4,59.0,None,GIA,Botswana,680
4248953Y,4,4,3,0.25,4.09,4.07,2.43,1.0049,59.5,61.0,None,GIA,Botswana,680
4248947Y,4,5,3,0.25,4.09,4.06,2.45,1.0074,60.2,60.0,None,GIA,Botswana,680
3296451AY,2,2,6,0.25,4.04,4.0,2.51,1.01,62.5,60.0,None,GIA,Russia,680
4181913A,4,6,0,0.25,4.06,4.04,2.51,1.005,62.0,58.0,None,GIA,Russia,680
4248952Y,4,3,5,0.25,4.08,4.06,2.47,1.0049,60.6,59.0,None,GIA,Canada,680
4248937Y,4,4,3,0.25,4.01,3.99,2.51,1.005,62.6,55.0,None,GIA,Botswana,680
3448720AY,2,2,2,0.25,4.03,4.0,2.49,1.0075,61.9,59.0,None,GIA,Canada,695
4248976Y,4,4,3,0.25,4.08,4.06,2.5,1.0049,61.4,58.0,None,GIA,Canada,695
4248975Y,4,4,2,0.25,4.04,4.03,2.5,1.0025,62.0,59.0,None,GIA,Botswana,695
4275670A,4,3,3,0.25,4.09,4.08,2.49,1.0025,60.8,57.0,None,GIA,Canada,695
4248970Y,4,4,3,0.25,4.11,4.1,2.48,1.0024,60.4,57.0,None,GIA,Botswana,695
3440887A,4,2,4,0.25,4.03,4.01,2.51,1.005,62.3,56.0,Faint,GIA,Canada,695
4248963Y,4,4,3,0.25,4.06,4.05,2.49,1.0025,61.5,58.0,None,GIA,Botswana,695
4248969Y,4,4,3,0.25,4.04,4.02,2.51,1.005,62.2,57.0,None,GIA,Canada,705
4195803A,4,3,2,0.25,4.1,4.08,2.48,1.0049,60.7,59.0,Faint,GIA,Russia,705
4248978Y,4,5,3,0.25,4.04,4.02,2.49,1.005,61.8,59.0,None,GIA,Canada,705
4230308A,4,4,2,0.25,4.06,4.05,2.5,1.0025,61.5,58.0,None,GIA,Canada,705
4248974Y,4,5,3,0.25,4.12,4.1,2.46,1.0049,59.9,59.0,None,GIA,Canada,705
4248971Y,4,5,3,0.25,4.03,4.01,2.51,1.005,62.5,55.0,None,GIA,Botswana,705
3614346A,3,3,3,0.25,4.06,4.05,2.53,1.0025,62.3,57.0,None,GIA,Botswana,720
3877713A,3,2,5,0.25,4.02,4.0,2.5,1.005,62.4,56.0,None,GIA,Botswana,720
4230305A,4,5,2,0.25,4.04,4.02,2.48,1.005,61.6,58.0,None,GIA,Botswana,720
3624407A,3,4,3,0.25,4.04,4.02,2.5,1.005,62.0,59.0,None,GIA,Botswana,720
3816570A,4,3,3,0.25,4.1,4.07,2.51,1.0074,61.4,59.0,Faint,GIA,Russia,720
4248910Y,4,5,3,0.25,4.07,4.04,2.45,1.0074,60.4,60.0,None,GIA,Canada,720
3738416A,3,5,2,0.25,4.05,4.03,2.5,1.005,61.9,58.0,None,GIA,Botswana,720
3639389A,3,3,3,0.25,4.03,4.0,2.53,1.0075,63.0,56.0,None,GIA,Botswana,720
3398729A,4,2,5,0.25,4.05,4.02,2.51,1.0075,62.3,56.0,None,GIA,Botswana,720
3668288A,3,3,3,0.25,4.06,4.04,2.52,1.005,62.1,57.0,None,GIA,Botswana,720
3724703A,3,2,3,0.25,4.05,4.01,2.52,1.01,62.5,56.0,None,GIA,Botswana,720
4230300A,4,5,2,0.25,4.08,4.06,2.48,1.0049,60.9,58.0,None,GIA,Botswana,720
4230307A,4,5,2,0.25,4.11,4.08,2.42,1.0074,59.1,61.0,None,GIA,Botswana,720
3378666A,4,2,4,0.25,4.03,4.01,2.49,1.005,62.1,58.0,None,GIA,Canada,720
4231732A,4,5,1,0.25,4.04,4.01,2.5,1.0075,62.1,58.0,None,GIA,Botswana,720
3310061A,4,2,4,0.25,4.1,4.08,2.47,1.0049,60.4,60.0,None,GIA,Canada,720
3652049A,3,5,2,0.25,4.06,4.04,2.54,1.005,62.6,57.0,None,GIA,Botswana,720
4263749A,4,5,0,0.25,4.04,4.02,2.51,1.005,62.4,56.0,None,GIA,Botswana,720
4230302A,4,5,3,0.25,4.1,4.08,2.49,1.0049,60.8,58.0,None,GIA,Botswana,720
4226681Y,4,5,3,0.25,4.05,4.04,2.51,1.0025,62.0,57.0,None,GIA,Botswana,730
3607415A,4,3,5,0.25,4.04,4.02,2.49,1.005,61.9,58.0,Faint,GIA,Botswana,730
3724671A,4,2,4,0.25,4.08,4.07,2.45,1.0025,60.0,60.0,Faint,GIA,Botswana,730
4226679Y,4,4,3,0.25,4.08,4.06,2.49,1.0049,61.2,59.0,None,GIA,Botswana,730
4248918Y,4,5,4,0.25,4.09,4.07,2.49,1.0049,61.1,55.0,None,GIA,Botswana,730
3713424A,3,4,3,0.25,4.1,4.08,2.43,1.0049,59.5,59.0,None,GIA,Botswana,730
4206895A,4,5,3,0.25,4.07,4.05,2.47,1.0049,60.9,59.0,Medium,GIA,Russia,730
3495266A,4,2,4,0.25,4.05,4.03,2.5,1.005,62.0,58.0,None,GIA,Canada,730
4205715Y,4,4,2,0.25,4.03,4.01,2.49,1.005,61.8,61.0,None,GIA,Botswana,730
3609546A,4,2,3,0.25,4.1,4.09,2.44,1.0024,59.6,61.0,None,GIA,Botswana,730
4248908Y,4,5,3,0.25,4.09,4.07,2.49,1.0049,60.9,60.0,None,GIA,Botswana,730
4205714Y,4,4,2,0.25,4.07,4.05,2.51,1.0049,61.8,59.0,None,GIA,Botswana,730
4237911A,4,5,2,0.25,4.05,4.02,2.5,1.0075,61.9,59.0,Faint,GIA,Russia,730
4263798A,3,4,2,0.25,4.11,4.09,2.5,1.0049,61.0,58.0,None,GIA,Botswana,730
4205707Y,4,4,2,0.25,4.06,4.05,2.49,1.0025,61.5,59.0,None,GIA,Botswana,730
3816854A,4,5,2,0.25,4.11,4.1,2.43,1.0024,59.3,62.0,None,GIA,Russia,730
4248920Y,3,5,3,0.25,4.04,4.01,2.5,1.0075,62.0,57.0,None,GIA,Botswana,745
3588235A,4,5,3,0.25,4.06,4.04,2.48,1.005,61.3,58.0,None,GIA,Botswana,745
3626165A,4,5,3,0.25,4.04,4.01,2.51,1.0075,62.4,56.0,None,GIA,Canada,745
4248923Y,4,4,4,0.25,4.04,4.02,2.5,1.005,62.0,55.0,None,GIA,Botswana,745
4248940Y,4,4,4,0.25,4.06,4.04,2.46,1.005,60.7,61.0,None,GIA,Botswana,745
3815896A,4,2,4,0.25,4.08,4.07,2.48,1.0025,60.8,58.0,None,GIA,Russia,745
4205703Y,4,4,2,0.25,4.05,4.01,2.49,1.01,61.9,60.0,None,GIA,Botswana,745
4205698Y,4,4,2,0.25,4.03,4.01,2.5,1.005,62.3,57.0,None,GIA,Botswana,745
3602635A,4,5,3,0.25,4.05,4.02,2.53,1.0075,62.7,55.0,None,GIA,Botswana,745
3566139A,4,3,4,0.25,4.04,4.01,2.52,1.0075,62.5,57.0,Faint,GIA,Botswana,745
3602566A,4,5,3,0.25,4.06,4.03,2.54,1.0074,62.8,57.0,None,GIA,Botswana,745
3482786A,4,3,4,0.25,4.05,4.02,2.52,1.0075,62.4,58.0,Faint,GIA,Canada,745
3639357A,3,3,4,0.25,4.05,4.02,2.52,1.0075,62.3,58.0,None,GIA,Botswana,745
4098564AY,3,6,3,0.25,4.17,4.13,2.46,1.0097,59.2,59.0,Faint,GIA,Russia,745
4205711Y,4,4,2,0.25,4.04,4.02,2.53,1.005,62.6,57.0,None,GIA,Botswana,745
3576367A,4,3,3,0.25,4.04,4.02,2.52,1.005,62.6,56.0,None,GIA,Botswana,745
3626130A,4,3,3,0.25,4.05,4.04,2.52,1.0025,62.2,58.0,None,GIA,Botswana,745
3626096A,3,3,4,0.25,4.04,4.01,2.5,1.0075,62.0,59.0,None,GIA,Botswana,745
